"Name","rt","mz","S48","E0","E0.1","Pool","S0","S0.1","S0.2","E48","Pool.1","Pool.2","Blank","Pool.3","E0.2","S48.1","S0.3","S48.2","Pool.4","E0.3","S48.3","Blank.1","Pool.5","Blank.2","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.3","Pool.8"
"",247.187854931472,73,15.3416447212739,15.1327542183249,14.5538884857408,15.5567176563941,15.2273397554571,15.4277469090432,15.3550024229458,14.8759803217703,15.7263071112831,15.5282286931504,21.4193249491698,15.1085455668254,15.5965848066372,15.1632066229401,14.8991589639487,14.9210697899024,15.0239829541999,14.7420106403372,15.5301083942481,18.342671045678,15.0180783902999,19.4764101898102,15.0866969199938,15.4246202040336,14.6152643496711,15.1049147151423,14.7814922264639,14.8934577968391,14.8214524407033,14.90225126808,18.1381692407034,15.216730793534
"",778.595829761097,73,14.8203158292509,14.4634940476531,14.7310226354974,14.9629436705797,14.5732472147212,14.8491913028759,15.3570425636112,14.5168443292056,14.9402649856342,14.914681995032,13.2820384099751,15.0150074155695,14.9010457402802,15.508662837017,14.8702338038557,15.2802109085665,14.9591179021833,14.7564209589322,15.5089685491633,13.0235497253623,14.8252614528454,12.1911870515047,14.9334470949463,14.8126330288035,14.6047924078662,14.8768458712833,14.8377369768999,14.7075893434094,14.4548591110207,15.168370790131,12.2909864309415,14.8228122878575
"",591.356795313094,156,11.4174534322471,12.6547113822043,13.0314266607737,12.750843129673,12.4266492561775,11.9577061809866,12.0437258045483,15.0881586982065,12.9960023991776,12.5498160404378,11.2564024954864,12.9825469953431,12.1205306245273,12.0447135073927,12.9908378939241,11.8752422623183,12.610761896734,12.9025121904954,11.1500114592315,9.61479721235154,12.7170902227253,10.0989450572604,12.8051401883414,14.858661561355,15.4638739334905,12.5643390216255,15.4702933950178,15.5990460434943,13.853594779507,13.1584989107393,8.98367625454574,12.6494605820982
"",579.369881142032,149,14.3952995368352,12.6704925564921,13.2584273041851,14.2694377522288,14.7290815040631,15.1335014164125,14.0128130817456,14.7629935753625,14.4653134623281,14.1315902530788,23.3232792403717,15.9664368656416,15.6727660620153,15.3148532329442,15.4914655693524,15.6495688754076,14.8904127340947,14.7327623785157,14.5266058239073,16.8249714391245,14.6009962018077,18.3518549298505,14.8775910281302,14.2697576845439,15.1282388791337,14.6803832146522,14.6234969048687,15.1615233199725,13.8241210955473,14.8500070773024,15.5534988413188,14.5692175258053
"",619.64467254957,73,15.2954787794922,15.0657277256413,15.4867479730055,14.4510909528546,15.0970964375946,15.0300232861896,15.1182148179432,15.9185047240924,14.3463276024546,14.7083167235817,15.915983147966,14.2774140611101,14.8345836463009,15.2187032033247,15.0314460920761,15.3086729070382,14.6261061421288,15.0301914707425,15.0529583694774,15.8559076424137,15.2004682256118,16.2820367288126,14.522991601978,14.5948719707561,15.9704362532193,14.4091835820942,15.6046668418167,16.0463072224561,15.1564100804955,15.0597397030048,16.3137002664583,14.6646724633651
"",488.884836612413,100,12.8341526969345,12.8151773151797,13.1782447868711,13.9102955344805,13.9288664215403,13.1420138003401,14.2011711420402,12.8575256791633,13.9102083765708,13.873562737959,11.7855863794714,12.7734776299888,11.1434077246297,13.4439529681627,13.589148738118,13.7718311569077,13.5885386862869,12.8020731044378,14.089822218361,12.5029560541626,13.8577951842802,11.6023565708422,13.1886496063045,12.6772765092875,12.5784016729814,13.7640785423455,13.168934175253,12.4038885346845,13.2654917830302,15.0427920777108,13.5417053417476,14.0452127989296
"",571.211528413945,129,14.812356042019,12.7074705335167,12.9397163872297,14.2841036353026,15.0194612044182,15.6966948543212,14.1596650682543,14.966333083249,14.4380980518145,14.1894788062776,11.8685924447896,14.4451045136878,13.554295779897,14.4371610565978,14.751058154241,15.5553800976016,14.2092731368492,14.1210752228921,13.9551594141628,9.01315601492737,14.235402885628,10.3327452397687,14.5085860823575,13.9969445921016,14.9324875984717,14.3882144373713,14.3945870595206,14.9484607236552,13.2991520127455,14.7365047568945,7.9705276856044,14.392726266319
"",1048.90076225896,73,13.987857462989,15.0530888765209,15.2704309291758,14.6499521671389,13.7202902761456,14.0112491758902,13.8676359339108,15.0164817597697,14.6502325862554,14.4556110087781,12.5018222630915,14.5316430964934,15.3795328108935,14.2111837976395,13.7891357388367,13.5824578369605,14.425809128504,15.2814043046984,13.7963104110561,12.7142366422716,14.2483953187109,12.0077508872941,14.3364273711518,15.1565114475659,14.7091259287658,14.3881377425268,14.7382741692854,14.4388942620446,14.7441063732952,13.6583608430302,12.6649626712001,14.1628395612915
"",253.669409666208,74,14.215021216493,14.4448777009377,14.1399309471385,14.2614103535904,14.4148066130946,14.4298659185055,14.2884333084575,14.3319058366286,14.4229040783524,14.1642030142939,22.3309006659345,14.4326610971672,14.8301507220966,14.5496465896201,14.5554270740375,14.3815780419354,14.1679309843451,14.0586000242406,14.4496935627503,19.0313523384871,13.9962879748913,20.5823184936185,14.5066890317328,14.7024416766503,14.1744581056807,14.4366294967759,14.2567474660265,14.4485130061981,14.6941875693693,14.0997772024824,18.9901974173287,14.4525490708688
"",440.438045162585,73,13.3277722916837,13.2405004768818,12.9989353570607,13.0701189699942,12.4316242563113,12.2702491885416,11.7903058750897,12.5263900943966,12.9118257887928,13.3271431424839,13.9362867453377,12.9880194042092,13.588213241993,10.8099689847751,12.6290892416018,12.4573955201165,13.342898398405,12.5014530069475,12.4191953200447,15.0460716052031,13.9424260467587,15.0336618851423,13.2591197532741,12.2788597132701,12.6965773569267,13.0923100169879,12.3611012935225,12.8678005807651,12.7726818931551,12.0828384417455,15.89554258483,13.5545738993973
