"Name","Class","rt.sd","rt","Blank","Pool","S48","E0","E0.1","Pool.1","S48.1","S0","S0.1","S0.2","E48","Pool.2","Blank.1","Pool.3","E0.2","S48.2","S0.3","S48.3","Pool.4","E0.3","S48.4","Blank.2","Pool.5","Blank.3","Pool.6","E48.1","E48.2","Pool.7","E48.3","E48.4","E0.4","S0.4","Blank.4","Pool.8"
"Myo-inositol 6TMS","Unknown",0.0027,10.764,NA,21.4040279438152,21.6147977464776,20.9301134562868,21.326535571969,21.373285869855,21.3084974593476,21.1022906741293,21.3069446944193,21.1030730741312,21.7935073375199,21.3904257626463,NA,21.1523532117059,20.3447283493383,21.5236704654321,21.099372816994,21.1531190578422,21.3646903779424,20.9464367539464,21.3097278004634,NA,21.4704678755437,NA,21.2282006720519,20.6842095685308,21.7512536181958,21.3750959345948,20.9863668729007,21.5776091695082,20.4823389914235,21.0574916445235,NA,21.3737200005452
"Fructose 1MEOX 5TMS","Unknown",0.003,9.654,NA,21.4286228083447,21.4869906741506,NA,21.1863274691378,21.4439650087262,21.1034371896077,NA,NA,NA,NA,21.2470258938675,NA,21.1649881397417,21.3827384583704,21.1825816439785,21.3091101377702,21.2753764279845,21.2295364541501,NA,20.9455436472927,NA,21.2212701000616,NA,21.2806037382909,21.3578274273904,NA,21.2133672891668,NA,NA,21.4996588869202,21.2218180088132,NA,21.1593449649069
"Asparagine 4TMS","Unknown",0.004,7.91,NA,21.2677731071643,20.190719580535,21.2465640047699,22.2196938727086,20.4059054225803,21.3638868028586,20.9456167390266,19.1324873457101,20.6088005279507,19.8541230602024,21.1824904777251,NA,21.1758337288007,18.9089807098149,21.4503062630789,21.5180211922698,20.5290424839954,20.5137360985552,21.2905826711977,20.8355817839511,NA,19.5518512180633,NA,20.6170285740956,21.171296300082,20.694570392173,20.3980804841098,20.8550530946911,19.1512326485351,20.7131516707172,22.0622411512483,NA,20.3919831317755
"GABA 3TMS","Unknown",0.0049,7.474,NA,21.0070586792608,21.0456235948139,21.0464842270681,21.140980997317,20.8175288455905,20.9704658044038,20.905531734507,21.310826072013,20.8286996179351,NA,20.9091730121328,NA,20.9310422571854,20.2977016895449,21.3033655896597,21.0956624990461,21.1858673855472,20.9089285946522,20.8507876266065,21.2019725264743,NA,20.7833563055928,NA,20.9621498761145,NA,NA,20.8518057626008,NA,NA,20.60544221485,21.0109394873632,NA,20.7668650459276
"Chlorogenic acid","Unknown",0.0025,17.264,NA,21.0662591762748,20.6739219945643,22.172542006673,22.3737085542749,21.1321490856707,NA,18.9871223456638,19.8113451615597,NA,21.6149274545156,20.4073666507119,NA,21.5518776564368,22.3677270636134,20.5846362924071,20.1072979977665,19.9951445695695,21.0348756804864,21.9587771061729,19.4050875029309,NA,20.9453913213935,NA,20.7624957672477,21.7099327540272,22.0406672253103,20.3016639231517,22.02692195339,21.9329983975701,21.4461204505898,NA,NA,19.8270597853139
"Asparagine dehydrated 2TMS","Unknown",0.0047,8.169,NA,20.6484550832171,20.0337841755019,20.4896205280889,20.8074432343107,21.1551047059143,21.2218961839012,21.0210796167438,20.6239391489251,21.2864330316238,21.0696831300627,21.4730707650896,NA,19.4857531562591,18.258434977558,20.5574042750455,20.9573567559585,21.1484068837295,21.2484129025328,20.6418186533072,21.2096075751888,20.7468707400271,21.2712887529707,NA,20.8534052204911,20.550435892206,20.6910778901816,21.2083140081109,21.0569763393563,19.6278534118142,21.2175267047356,21.3361138069198,20.767183301173,21.3267387400665
"","Unknown",0.004,11.04,NA,20.4774021755782,20.3486628023756,20.1051268539669,20.1344228897685,20.9824670776345,20.8642305463263,20.6575600366917,20.8544363189141,20.9622888233557,20.5342002249645,20.6155951898266,NA,20.2093111700212,19.6265269268263,20.492114457599,20.6435998429458,20.6712584939042,20.662286253294,20.106754147559,21.0621263158097,NA,20.9318225238985,NA,20.2518105041597,20.0938268892874,19.5408896825373,20.6354362404672,20.0744965332053,20.3430724556994,19.6854268468355,21.134460411231,NA,20.9015214973026
"Chlorogenic acid","Unknown",0.0034,17.187,NA,20.1889051892264,NA,NA,21.6045301305029,20.3430096992659,NA,NA,NA,NA,NA,NA,NA,20.5989735938687,21.9031504591728,19.9129175862511,NA,NA,20.1348787493679,21.4409292098817,NA,NA,20.1827244755549,NA,19.7799036110495,20.7586970480643,20.8878363396375,NA,NA,NA,20.3702855557009,NA,NA,19.155883866942
"L-Glutamic acid 3TMS","Unknown",0.0042,8.372,NA,20.1214901044055,20.9591235234963,19.736448961242,20.2989153279208,20.0774436476524,20.4446903372974,18.6609887317446,NA,18.1365862548503,20.4207068464179,20.2381516757347,NA,20.0132809612842,20.4243150474242,20.791432606616,18.8463998681399,20.6120376648886,20.0065810832222,20.4016161997238,20.8528516450197,NA,19.9642766338823,NA,20.2052199545538,20.4335330119813,20.8943618782688,20.0735100267911,20.6768491622067,20.5454517355288,19.7969166948074,19.3776611902423,NA,20.0402599453618
"","Unknown",0.0028,7.559,NA,20.1612836745427,20.1272058296899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.155169697057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1407853960808,NA,NA,20.1203349783952,NA,NA,NA,NA,NA,NA
"","Unknown",0.0086,13.846,NA,20.0065286031947,20.1004930884417,20.2171510293533,19.9821375630016,19.8730021991285,19.7609798103627,NA,19.8640484833981,19.7454871294358,NA,19.7947519147582,NA,19.6260723983722,NA,NA,NA,19.9225440516673,19.761272356204,19.5893011361664,NA,NA,19.8383441283649,NA,19.7702028441886,NA,NA,19.8584906665637,NA,NA,NA,NA,NA,19.6265423568368
"","Unknown",0.0024,12.99,NA,19.742053248927,19.7447909041644,19.1898981234631,19.7276959899687,20.1028052762688,20.1980235987124,19.6466768070475,20.0077480597992,20.1442824960862,20.0107173949642,20.0530685257215,NA,19.7631563400165,19.6752753061934,20.1882579544704,19.5364433068999,20.1474636794371,19.9850498329184,19.6981695592235,20.2567670387234,NA,20.1534818346092,NA,19.6727820926819,19.6286316058382,19.8137535373282,19.8808284757795,20.0719975617503,19.8613871204033,19.32351573312,20.441186966832,NA,20.1312187053469
"","Unknown",0.0049,11.146,NA,19.7319233089252,22.7723166892961,19.7014276856872,19.9445885936599,21.9629372645834,22.7934495630169,22.3792288438255,22.3986025897866,22.2534286641767,21.3683081928836,NA,NA,NA,NA,19.4495700559914,20.4051389821925,19.45075631796,19.9872157029683,20.5615169718093,21.4495820554678,NA,21.0478373509855,NA,NA,18.8138140983647,19.2640021896887,19.9911468439499,19.3863170067517,21.3703625148568,19.0945924394524,22.2540693861126,NA,21.1050951163357
"","Unknown",0.0045,5.536,NA,19.6667085370902,19.1516746559623,21.9053880270679,21.7013963285943,NA,18.3536008175294,18.969579410434,18.7842618359774,NA,21.8723075795752,20.0731995900009,NA,19.9362857415941,21.7480628139153,18.216174464713,18.9035153645056,18.103150012424,20.1949107584994,21.5298193707541,18.3252183232118,NA,NA,NA,19.7696512343765,21.1542124115001,21.7907672288049,20.1855638793822,21.6368973300809,21.6946197865132,21.9536014783973,18.7817222316142,NA,NA
"","Unknown",0.0046,16.968,NA,19.5155996175037,NA,NA,NA,19.452874181103,NA,NA,18.5520233366993,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.511345475723,NA,NA,NA,19.3770886615188,NA,19.5426370271348,NA,NA,18.8118987971864,NA,NA,NA,NA,NA,NA
"","Unknown",0.0031,6.872,NA,19.4839514785564,18.6692696372051,18.6463303411312,18.5696668249337,19.2252957894293,20.1169725868066,19.6676673641128,19.4418800535441,20.1610345634996,19.5113915318931,20.6057171814094,NA,18.2417082749986,NA,19.2029145060935,19.6602168943622,20.1366252394875,20.122419337061,18.9441094362466,19.7573689916848,17.2912877261257,19.8387035001367,NA,19.8512079989287,18.9581508094044,19.0133347075828,20.1056929534749,19.767987195528,18.1936219123172,19.5983385114799,21.1456835960958,18.6257893205938,20.258721753791
"","Unknown",0.0031,6.058,NA,19.3651728772469,19.5444888322834,19.8207995703914,19.5800722546983,19.7706538556636,19.5972488717284,19.8255938046385,20.0232098172683,19.94685458988,19.8059624382946,19.3077092080557,NA,19.5127048190462,NA,19.6308710383356,19.7419323979118,19.6575300301143,19.7624316113429,19.6600048965691,19.7870709354749,NA,NA,NA,19.5722727033555,19.7745644119715,19.545068968214,19.8876166200562,19.5353043747097,19.7564449631544,20.049752927116,19.5381134658377,NA,19.6784771342317
"","Unknown",0.0031,17.498,NA,19.1913187692618,18.6058746016832,19.593591184663,20.248186282771,19.0986043209208,NA,NA,NA,NA,18.376585951077,18.2601324958345,NA,19.5903965913751,20.2227955759429,18.85621903959,17.8285251634647,NA,18.8756275860562,20.2221786956988,NA,NA,18.8289469653886,NA,18.6932965718423,19.4545009170247,19.4339810492145,18.1665957408476,18.8958284612482,18.7647863518503,18.910447177406,NA,NA,17.8547412900787
"","Unknown",0.0031,4.288,NA,19.1279803067007,19.222336576932,18.8832232632641,18.504388892053,19.1303250712268,19.2549257701747,19.4980594201545,19.5636412397541,19.728127120837,18.7999250648182,20.2047977251935,16.9163199162406,19.5928302078408,19.6219038916303,19.4669872018629,19.11182685064,19.2158223469181,19.6586452102917,19.2255723174253,19.8188322577751,18.2271913290267,19.5514614081611,17.2980346150347,19.3805457733694,19.7096093829575,19.2855402807939,19.6083483495948,19.1924746917693,19.3360042654909,19.1880011183405,19.5171256020583,18.1412603873063,19.2518726635121
"Valine 2TMS","Unknown",0.0047,4.535,NA,19.0287645370549,19.428980632373,18.6535908763936,18.8446940679844,18.6659668144552,19.5334131273174,19.9515619073452,19.3973115012714,19.4518545924457,18.547799368713,19.169415866586,NA,19.3145580238247,NA,19.9118699906727,19.5430541660276,19.3549318131658,19.2856691598923,19.2616398678468,19.9096089675868,NA,18.6891908195347,NA,19.2672022657581,18.5575591895605,19.0999605785408,19.2756042984625,18.8880977020254,18.8184497736205,18.6132304719745,19.7619471733472,NA,18.6207218571823
"","Unknown",0.0033,10.458,NA,19.4986554848092,20.4714816328621,NA,19.2190737882605,19.8894336521319,20.1920323793965,19.8365554289678,19.8575947437173,20.0110349726016,18.985984039903,17.9636730894898,NA,NA,NA,19.4541183766932,19.2230553380404,19.3890656667575,18.6334726543174,18.2372912164103,20.1635425144251,NA,19.5207644303308,NA,NA,NA,NA,18.508872962117,NA,18.824529332205,NA,20.1656018837837,NA,19.4135964939247
"","Unknown",0.0036,4.917,NA,18.5975219077992,NA,NA,NA,21.560275639421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3143931123586,NA,NA,NA,21.5233498586304,NA,NA,NA,NA,20.1431967535793,NA,NA,NA,NA,NA,21.3789517342677
"","Unknown",0.0027,15.708,NA,18.3782309180283,NA,19.6750624077963,19.3866852046286,18.4798350307679,NA,NA,NA,NA,18.9052442169713,18.530497495368,NA,18.5715681617405,19.4249686506693,NA,NA,NA,18.6230022054631,19.5987925402583,NA,NA,18.5645643903823,NA,18.241593638564,19.1639405530004,18.5364601434584,17.8795258563932,18.7633338952219,18.9053208156409,19.1732988351857,NA,NA,17.8916115863464
"","Unknown",0.0023,18.179,NA,18.4645829336388,18.0584379547907,18.4398069859311,18.4840061660758,18.080388740166,NA,NA,NA,NA,NA,NA,NA,18.7902898466843,18.5901291622608,19.0877782803628,18.1988404327994,NA,18.0541161014686,18.1900320185454,18.23589674545,NA,17.9709247989094,NA,18.0989253142054,18.318844124959,17.7208719503133,17.5575049910672,17.7737244812863,17.7753842848197,17.44734741316,NA,NA,NA
